WL,Data,Data,Data
563.4,61,56,57
563.53,79,56,65
563.66,87,64,69
563.79,85,71,69
563.92,86,73,78
564.05,103,71,80
564.17,99,77,76
564.3,90,72,73
564.43,81,69,67
564.56,85,65,65
564.69,96,69,76
564.82,92,72,77
564.95,95,75,71
565.07,89,75,77
565.2,106,77,79
565.33,107,91,97
565.46,99,96,94
565.59,98,75,80
565.71,88,75,75
565.84,106,90,94
565.97,124,96,96
566.1,112,77,93
566.23,82,69,59
566.35,65,58,59
566.48,70,49,52
566.61,68,53,58
566.74,80,51,58
566.86,78,68,56
566.99,74,62,60
567.12,91,63,69
567.25,87,69,65
567.37,91,74,66
567.5,101,70,80
567.63,107,83,93
567.75,124,102,98
567.88,137,108,113
568.01,135,102,114
568.14,145,116,110
568.26,162,126,132
568.39,143,109,115
568.52,136,110,108
568.64,126,109,94
568.77,133,108,101
568.9,136,102,109
569.02,154,116,111
569.15,152,102,115
569.27,150,108,120
569.4,164,128,120
569.53,179,130,144
569.65,153,123,126
569.78,129,103,107
569.91,141,103,109
570.03,188,137,151
570.16,182,147,149
570.28,140,106,111
570.41,98,74,78
570.53,85,64,64
570.66,83,60,62
570.79,89,69,66
570.91,93,63,71
571.04,83,65,71
571.16,95,70,75
571.29,91,65,72
571.41,92,73,70
571.54,91,75,77
571.66,107,73,78
571.79,120,81,90
571.91,125,94,94
572.04,129,99,102
572.16,130,105,110
572.29,140,108,113
572.41,157,125,128
572.54,148,115,126
572.66,134,100,113
572.79,127,99,99
572.91,133,101,99
573.03,138,93,104
573.16,138,103,111
573.28,139,101,110
573.41,141,115,114
573.53,148,121,112
573.66,163,133,132
573.78,151,121,126
573.9,134,101,109
574.03,125,92,92
574.15,148,102,107
574.27,174,125,136
574.4,149,126,123
574.52,116,89,88
574.65,92,70,65
574.77,81,55,59
574.89,79,56,55
575.02,78,61,56
575.14,78,63,63
575.26,87,62,66
575.39,89,61,74
575.51,83,69,64
575.63,85,59,65
575.75,92,62,78
575.88,96,68,72
576,110,83,80
576.12,122,83,84
576.25,124,87,98
576.37,127,95,102
576.49,123,94,98
576.61,146,105,109
576.74,137,110,116
576.86,136,98,102
576.98,123,89,88
577.1,109,85,96
577.23,115,95,90
577.35,113,97,96
577.47,121,96,93
577.59,120,98,97
577.71,127,94,103
577.84,140,106,106
577.96,142,119,130
578.08,135,103,108
578.2,108,93,97
578.32,116,89,93
578.44,142,106,108
578.57,153,112,128
578.69,129,94,103
578.81,91,78,76
578.93,74,62,59
579.05,64,46,53
579.17,60,49,48
579.29,64,54,48
579.41,69,56,56
579.54,73,52,58
579.66,72,55,60
579.78,79,60,54
579.9,70,51,58
580.02,76,55,58
580.14,85,66,67
580.26,94,72,69
580.38,95,77,75
580.5,102,80,83
580.62,109,80,88
580.74,113,81,91
580.86,126,92,89
580.98,130,98,102
581.1,121,92,95
581.22,111,80,91
581.34,102,74,85
581.46,96,80,80
581.58,103,85,76
581.7,101,81,88
581.82,100,84,88
581.94,106,85,97
582.06,108,91,89
582.18,121,98,96
582.3,135,100,103
582.42,118,96,90
